psalm,verse_number,text,compound_sentiment,clean_text,cluster,cluster_label
2,10,"Now therefore, O kings, be wise; be warned, O rulers of the earth.",0.25,therefore kings wise warned rulers earth,2,Protection and Authority
2,11,"Serve the Lord with fear, with trembling",-0.6908,serve lord fear trembling,4,Victory and Power
2,12,"kiss his feet, or he will be angry, and you will perish in the way; for his wrath is quickly kindled. Happy are all who take refuge in him.",0.4939,kiss feet angry perish way wrath quickly kindled happy take refuge,3,Judgment & Righteousness
3,1,"O Lord, how many are my foes! Many are rising against me;",-0.5093,lord many foes many rising,4,Victory and Power
3,2,"many are saying to me, “There is no help for you in God.”Selah",-0.3089,many saying help selah,0,Hopefulness
3,3,"But you, O Lord, are a shield around me, my glory, and the one who lifts up my head.",0.6956,lord shield around glory one lifts head,4,Victory and Power
3,4,"I cry aloud to the Lord, and he answers me from his holy hill.Selah",-0.4767,cry aloud lord answers holy,4,Victory and Power
3,5,"I lie down and sleep; I wake again, for the Lord sustains me.",0.0,lie sleep wake lord sustains,4,Victory and Power
3,6,I am not afraid of ten thousands of people who have set themselves against me all around.,0.0,afraid ten thousands people set around,1,Poetic Metaphors
3,7,"Rise up, O Lord! Deliver me, O my God! For you strike all my enemies on the cheek; you break the teeth of the wicked.",-0.7639,rise lord deliver god strike enemies cheek break teeth wicked,4,Victory and Power
3,8,Deliverance belongs to the Lord; may your blessing be on your people!Selah,0.5411,deliverance belongs lord may blessing people selah,4,Victory and Power
4,1,"Answer me when I call, O God of my right! You gave me room when I was in distress. Be gracious to me, and hear my prayer.",0.3802,answer call god right gave room distress gracious hear prayer,4,Victory and Power
4,2,"How long, you people, shall my honor suffer shame? How long will you love vain words, and seek after lies?Selah",-0.3313,long people shall honor suffer shame long love vain words seek lies selah,0,Hopefulness
4,3,But know that the Lord has set apart the faithful for himself; the Lord hears when I call to him.,0.5927,know lord set apart faithful lord hears call,4,Victory and Power
4,4,"When you are disturbed, do not sin; ponder it on your beds, and be silent.Selah",0.0834,disturbed sin ponder beds,1,Poetic Metaphors
4,5,"Offer right sacrifices, and put your trust in the Lord.",0.5106,offer right sacrifices put trust lord,0,Hopefulness
4,6,"There are many who say, “O that we might see some good! Let the light of your face shine on us, O Lord!”",0.5399,many say might see good let light face shine us lord,4,Victory and Power
4,7,You have put gladness in my heart more than when their grain and wine abound.,0.6369,put gladness heart grain wine abound,0,Hopefulness
4,8,"I will both lie down and sleep in peace; for you alone, O Lord, make me lie down in safety.",0.6486,lie sleep peace alone lord make lie safety,3,Judgment & Righteousness
5,1,"Give ear to my words, O Lord; give heed to my sighing.",0.0,give ear words lord give heed sighing,4,Victory and Power
5,2,"Listen to the sound of my cry, my King and my God, for to you I pray.",0.0772,listen sound cry king god pray,4,Victory and Power
5,3,"O Lord, in the morning you hear my voice; in the morning I plead my case to you, and watch.",0.0,lord morning hear voice morning plead case watch,4,Victory and Power
5,4,For you are not a God who delights in wickedness; evil will not sojourn with you.,-0.7441,god delights wickedness evil sojourn,3,Judgment & Righteousness
5,5,The boastful will not stand before your eyes; you hate all evildoers.,-0.7964,boastful stand eyes hate evildoers,3,Judgment & Righteousness
5,6,You destroy those who speak lies; the Lord abhors the bloodthirsty and deceitful.,-0.9201,destroy speak lies lord abhors bloodthirsty deceitful,3,Judgment & Righteousness
5,7,"But I, through the abundance of your steadfast love, will enter your house, I will bow down toward your holy temple in awe of you.",0.8519,abundance steadfast love enter house bow toward holy temple awe,0,Hopefulness
5,8,"Lead me, O Lord, in your righteousness because of my enemies; make your way straight before me.",-0.3182,lead lord righteousness enemies make way straight,3,Judgment & Righteousness
5,9,For there is no truth in their mouths; their hearts are destruction; their throats are open graves; they flatter with their tongues.,-0.2874,truth mouths hearts destruction throats open graves flatter tongues,3,Judgment & Righteousness
5,10,"Make them bear their guilt, O God; let them fall by their own counsels; because of their many transgressions cast them out, for they have rebelled against you.",-0.25,make bear guilt god let fall counsels many transgressions cast rebelled,3,Judgment & Righteousness
5,11,"But let all who take refuge in you rejoice; let them ever sing for joy. Spread your protection over them, so that those who love your name may exult in you.",0.9505,let take refuge rejoice let ever sing joy spread protection love name may exult,0,Hopefulness
5,12,"For you bless the righteous, O Lord; you cover them with favor as with a shield.",0.6705,bless righteous lord cover favor shield,4,Victory and Power
6,1,"O Lord, do not rebuke me in your anger, or discipline me in your wrath.",-0.5719,lord rebuke anger discipline wrath,3,Judgment & Righteousness
6,2,"Be gracious to me, O Lord, for I am languishing; O Lord, heal me, for my bones are shaking with terror.",-0.128,gracious lord languishing lord heal bones shaking terror,4,Victory and Power
6,3,"My soul also is struck with terror, while you, O Lord—how long?",-0.6597,soul also struck terror long,3,Judgment & Righteousness
6,4,"Turn, O Lord, save my life; deliver me for the sake of your steadfast love.",0.8555,turn lord save life deliver sake steadfast love,0,Hopefulness
6,5,For in death there is no remembrance of you; in Sheol who can give you praise?,-0.3612,death remembrance sheol give praise,0,Hopefulness
6,6,I am weary with my moaning; every night I flood my bed with tears; I drench my couch with my weeping.,-0.743,weary moaning every night flood bed tears drench couch weeping,1,Poetic Metaphors
6,7,My eyes waste away because of grief; they grow weak because of all my foes.,-0.8979,eyes waste away grief grow weak foes,3,Judgment & Righteousness
6,8,"Depart from me, all you workers of evil, for the Lord has heard the sound of my weeping.",-0.8074,depart workers evil lord heard sound weeping,4,Victory and Power
6,9,The Lord has heard my supplication; the Lord accepts my prayer.,0.3182,lord heard supplication lord accepts prayer,4,Victory and Power
6,10,"All my enemies shall be ashamed and struck with terror; they shall turn back, and in a moment be put to shame.",-0.93,enemies shall ashamed struck terror shall turn back moment put shame,3,Judgment & Righteousness
7,1,"O Lord my God, in you I take refuge; save me from all my pursuers, and deliver me,",0.6486,lord god take refuge save pursuers deliver,4,Victory and Power
7,2,"or like a lion they will tear me apart; they will drag me away, with no one to rescue.",0.4019,like lion tear apart drag away one rescue,1,Poetic Metaphors
7,3,"O Lord my God, if I have done this, if there is wrong in my hands,",-0.25,lord god done wrong hands,4,Victory and Power
7,4,"if I have repaid my ally with harm or plundered my foe without cause,",-0.7506,repaid ally harm plundered foe without cause,3,Judgment & Righteousness
7,5,"then let the enemy pursue and overtake me, trample my life to the ground, and lay my soul in the dust.Selah",-0.5423,let enemy pursue overtake trample life ground lay soul,3,Judgment & Righteousness
7,6,"Rise up, O Lord, in your anger; lift yourself up against the fury of my enemies; awake, O my God; you have appointed a judgment.",-0.8591,rise lord anger lift fury enemies awake god appointed judgment,4,Victory and Power
7,7,"Let the assembly of the peoples be gathered around you, and over it take your seat on high.",0.0,let assembly peoples gathered around take seat high,1,Poetic Metaphors
7,8,"The Lord judges the peoples; judge me, O Lord, according to my righteousness and according to the integrity that is in me.",0.3818,lord judges peoples judge lord according righteousness according integrity,4,Victory and Power
7,9,"O let the evil of the wicked come to an end, but establish the righteous, you who test the minds and hearts, O righteous God.",0.6908,let evil wicked come end establish righteous test minds hearts righteous god,3,Judgment & Righteousness
7,10,"God is my shield, who saves the upright in heart.",0.743,god shield saves upright heart,0,Hopefulness
7,11,"God is a righteous judge, and a God who has indignation every day.",-0.0516,god righteous judge god indignation every day,4,Victory and Power
7,12,"If one does not repent, God will whet his sword; he has bent and strung his bow;",-0.2057,one repent god whet sword bent strung bow,3,Judgment & Righteousness
7,13,"he has prepared his deadly weapons, making his arrows fiery shafts.",-0.5267,prepared deadly weapons making arrows fiery shafts,1,Poetic Metaphors
7,14,"See how they conceive evil, and are pregnant with mischief, and bring forth lies.",-0.8658,see conceive evil pregnant mischief bring forth lies,3,Judgment & Righteousness
7,15,"They make a pit, digging it out, and fall into the hole that they have made.",0.0,make pit digging fall hole made,1,Poetic Metaphors
7,16,"Their mischief returns upon their own heads, and on their own heads their violence descends.",-0.765,mischief returns upon heads heads violence descends,3,Judgment & Righteousness
7,17,"I will give to the Lord the thanks due to his righteousness, and sing praise to the name of the Lord, the Most High.",0.7579,give lord thanks due righteousness sing praise name lord high,4,Victory and Power
8,1,"O Lord, our Sovereign, how majestic is your name in all the earth! You have set your glory above the heavens.",0.7574,lord sovereign majestic name earth set glory heavens,4,Victory and Power
8,2,"Out of the mouths of babes and infants you have founded a bulwark because of your foes, to silence the enemy and the avenger.",-0.7579,mouths babes infants founded bulwark foes silence enemy avenger,3,Judgment & Righteousness
8,3,"When I look at your heavens, the work of your fingers, the moon and the stars that you have established;",0.4019,look heavens work fingers moon stars established,1,Poetic Metaphors
8,4,"what are human beings that you are mindful of them, mortals that you care for them?",0.4939,human beings mindful mortals care,0,Hopefulness
8,5,"Yet you have made them a little lower than God, and crowned them with glory and honor.",0.767,yet made little lower god crowned glory honor,4,Victory and Power
8,6,"You have given them dominion over the works of your hands; you have put all things under their feet,",0.0,given dominion works hands put things feet,1,Poetic Metaphors
8,7,"all sheep and oxen, and also the beasts of the field,",0.0,sheep oxen also beasts field,1,Poetic Metaphors
8,8,"the birds of the air, and the fish of the sea, whatever passes along the paths of the seas.",0.0,birds air fish sea whatever passes along paths seas,1,Poetic Metaphors
8,9,"O Lord, our Sovereign, how majestic is your name in all the earth!",0.0,lord sovereign majestic name earth,4,Victory and Power
9,1,I will give thanks to the Lord with my whole heart; I will tell of all your wonderful deeds.,0.8957,give thanks lord whole heart tell wonderful deeds,0,Hopefulness
9,2,"I will be glad and exult in you; I will sing praise to your name, O Most High.",0.765,glad exult sing praise name high,4,Victory and Power
9,3,"When my enemies turned back, they stumbled and perished before you.",-0.4939,enemies turned back stumbled perished,1,Poetic Metaphors
9,4,For you have maintained my just cause; you have sat on the throne giving righteous judgment.,0.34,maintained cause sat throne giving righteous judgment,3,Judgment & Righteousness
9,5,"You have rebuked the nations, you have destroyed the wicked; you have blotted out their name forever and ever.",-0.765,rebuked nations destroyed wicked blotted name forever ever,3,Judgment & Righteousness
9,6,The enemies have vanished in everlasting ruins; their cities you have rooted out; the very memory of them has perished.,-0.7269,enemies vanished everlasting ruins cities rooted memory perished,1,Poetic Metaphors
9,7,"But the Lord sits enthroned forever, he has established his throne for judgment.",0.0,lord sits enthroned forever established throne judgment,4,Victory and Power
9,8,He judges the world with righteousness; he judges the peoples with equity.,0.0,judges world righteousness judges peoples equity,3,Judgment & Righteousness
9,9,"The Lord is a stronghold for the oppressed, a stronghold in times of trouble.",-0.5859,lord stronghold oppressed stronghold times trouble,2,Protection and Authority
9,10,"And those who know your name put their trust in you, for you, O Lord, have not forsaken those who seek you.",0.5106,know name put trust lord forsaken seek,4,Victory and Power
9,11,"Sing praises to the Lord, who dwells in Zion. Declare his deeds among the peoples.",0.5106,sing praises lord dwells zion declare deeds among peoples,2,Protection and Authority
9,12,For he who avenges blood is mindful of them; he does not forget the cry of the afflicted.,0.1828,avenges blood mindful forget cry afflicted,3,Judgment & Righteousness
9,13,"Be gracious to me, O Lord. See what I suffer from those who hate me; you are the one who lifts me up from the gates of death,",-0.8176,gracious lord see suffer hate one lifts gates death,4,Victory and Power
9,14,"so that I may recount all your praises, and, in the gates of daughter Zion, rejoice in your deliverance.",0.743,may recount praises gates daughter zion rejoice deliverance,2,Protection and Authority
9,15,The nations have sunk in the pit that they made; in the net that they hid has their own foot been caught.,-0.1027,nations sunk pit made net hid foot caught,1,Poetic Metaphors
9,16,"The Lord has made himself known, he has executed judgment; the wicked are snared in the work of their own hands.Higgaion. Selah",-0.5267,lord made known executed judgment wicked snared work selah,3,Judgment & Righteousness
9,17,"The wicked shall depart to Sheol, all the nations that forget God.",-0.4939,wicked shall depart sheol nations forget god,3,Judgment & Righteousness
9,18,"For the needy shall not always be forgotten, nor the hope of the poor perish forever.",-0.7383,needy shall always forgotten hope poor perish forever,0,Hopefulness
9,19,"Rise up, O Lord! Do not let mortals prevail; let the nations be judged before you.",0.0,rise lord let mortals prevail let nations judged,4,Victory and Power
9,20,"Put them in fear, O Lord; let the nations know that they are only human.Selah",-0.4939,put fear lord let nations know,4,Victory and Power
10,1,"Why, O Lord, do you stand far off? Why do you hide yourself in times of trouble?",-0.5803,lord stand far hide times trouble,4,Victory and Power
10,2,In arrogance the wicked persecute the poor— let them be caught in the schemes they have devised.,-0.872,arrogance wicked persecute let caught schemes devised,3,Judgment & Righteousness
10,3,"For the wicked boast of the desires of their heart, those greedy for gain curse and renounce the Lord.",-0.1531,wicked boast desires heart greedy gain curse renounce lord,0,Hopefulness
10,4,"In the pride of their countenance the wicked say, “God will not seek it out”; all their thoughts are, “There is no God.”",-0.4939,pride countenance wicked say god seek thoughts god,4,Victory and Power
10,5,"Their ways prosper at all times; your judgments are on high, out of their sight; as for their foes, they scoff at them.",-0.4588,ways prosper times judgments high sight foes scoff,3,Judgment & Righteousness
10,6,"They think in their heart, “We shall not be moved; throughout all generations we shall not meet adversity.”",0.6369,think heart shall moved throughout generations shall meet adversity,0,Hopefulness
10,7,Their mouths are filled with cursing and deceit and oppression; under their tongues are mischief and iniquity.,-0.6705,mouths filled cursing deceit oppression tongues mischief iniquity,3,Judgment & Righteousness
10,8,They sit in ambush in the villages; in hiding places they murder the innocent. Their eyes stealthily watch for the helpless;,-0.8126,sit ambush villages hiding places murder innocent eyes stealthily watch helpless,3,Judgment & Righteousness
10,9,they lurk in secret like a lion in its covert; they lurk that they may seize the poor; they seize the poor and drag them off in their net.,-0.802,lurk secret like lion covert lurk may seize poor seize poor drag net,1,Poetic Metaphors
10,10,"They stoop, they crouch, and the helpless fall by their might.",-0.4588,stoop crouch helpless fall might,1,Poetic Metaphors
10,11,"They think in their heart, “God has forgotten, he has hidden his face, he will never see it.”",0.5106,think heart god forgotten hidden face never see,0,Hopefulness
10,12,"Rise up, O Lord; O God, lift up your hand; do not forget the oppressed.",0.8186,rise lord god lift hand forget oppressed,4,Victory and Power
10,13,"Why do the wicked renounce God, and say in their hearts, “You will not call us to account”?",0.4588,wicked renounce god say hearts call us account,4,Victory and Power
10,14,"But you do see! Indeed you note trouble and grief, that you may take it into your hands; the helpless commit themselves to you; you have been the helper of the orphan.",-0.8043,see indeed note trouble grief may take hands helpless commit helper orphan,3,Judgment & Righteousness
10,15,Break the arm of the wicked and evildoers; seek out their wickedness until you find none.,-0.872,break arm wicked evildoers seek wickedness find none,3,Judgment & Righteousness
10,16,The Lord is king forever and ever; the nations shall perish from his land.,0.0,lord king forever ever nations shall perish land,2,Protection and Authority
10,17,"O Lord, you will hear the desire of the meek; you will strengthen their heart, you will incline your ear",0.8481,lord hear desire meek strengthen heart incline ear,0,Hopefulness
10,18,"to do justice for the orphan and the oppressed, so that those from earth may strike terror no more.",-0.7003,justice orphan oppressed earth may strike terror,3,Judgment & Righteousness
11,1,"In the Lord I take refuge; how can you say to me, “Flee like a bird to the mountains;",0.3612,lord take refuge say flee like bird mountains,4,Victory and Power
11,2,"for look, the wicked bend the bow, they have fitted their arrow to the string, to shoot in the dark at the upright in heart.",-0.1531,look wicked bend bow fitted arrow string shoot dark upright heart,1,Poetic Metaphors
11,3,"If the foundations are destroyed, what can the righteous do?”",-0.4939,foundations destroyed righteous,3,Judgment & Righteousness
11,4,"The Lord is in his holy temple; the Lord’s throne is in heaven. His eyes behold, his gaze examines humankind.",0.5106,lord holy temple lord throne heaven eyes behold gaze examines humankind,4,Victory and Power
11,5,"The Lord tests the righteous and the wicked, and his soul hates the lover of violence.",-0.765,lord tests righteous wicked soul hates lover violence,3,Judgment & Righteousness
11,6,On the wicked he will rain coals of fire and sulfur; a scorching wind shall be the portion of their cup.,-0.7003,wicked rain coals fire sulfur scorching wind shall portion cup,1,Poetic Metaphors
11,7,For the Lord is righteous; he loves righteous deeds; the upright shall behold his face.,0.5719,lord righteous loves righteous deeds upright shall behold face,0,Hopefulness
12,1,"Help, O Lord, for there is no longer anyone who is godly; the faithful have disappeared from humankind.",0.3612,help lord longer anyone godly faithful disappeared humankind,4,Victory and Power
12,2,They utter lies to each other; with flattering lips and a double heart they speak.,0.5279,utter lies flattering lips double heart speak,3,Judgment & Righteousness
12,3,"May the Lord cut off all flattering lips, the tongue that makes great boasts,",0.6486,may lord cut flattering lips tongue makes great boasts,4,Victory and Power
12,4,"those who say, “With our tongues we will prevail; our lips are our own—who is our master?”",0.0,say tongues prevail lips master,3,Judgment & Righteousness
12,5,"“Because the poor are despoiled, because the needy groan, I will now rise up,” says the Lord; “I will place them in the safety for which they long.”",-0.4019,poor despoiled needy groan rise says lord place safety long,4,Victory and Power
12,6,"The promises of the Lord are promises that are pure, silver refined in a furnace on the ground, purified seven times.",0.6369,promises lord promises pure silver refined furnace ground purified seven times,3,Judgment & Righteousness
12,7,"You, O Lord, will protect us; you will guard us from this generation forever.",0.3818,lord protect us guard us generation forever,4,Victory and Power
12,8,"On every side the wicked prowl, as vileness is exalted among humankind.",-0.5267,every side wicked prowl vileness exalted among humankind,3,Judgment & Righteousness
13,1,"How long, O Lord? Will you forget me forever? How long will you hide your face from me?",-0.4836,long lord forget forever long hide face,4,Victory and Power
13,2,"How long must I bear pain in my soul, and have sorrow in my heart all day long? How long shall my enemy be exalted over me?",-0.7476,long must bear pain soul sorrow heart day long long shall enemy exalted,0,Hopefulness
13,3,"Consider and answer me, O Lord my God! Give light to my eyes, or I will sleep the sleep of death,",-0.4753,consider answer lord god give light eyes sleep sleep death,4,Victory and Power
13,4,"and my enemy will say, “I have prevailed”; my foes will rejoice because I am shaken.",-0.5994,enemy say prevailed foes rejoice shaken,3,Judgment & Righteousness
13,5,But I trusted in your steadfast love; my heart shall rejoice in your salvation.,0.9753,trusted steadfast love heart shall rejoice salvation,0,Hopefulness
13,6,"I will sing to the Lord, because he has dealt bountifully with me.",0.0,sing lord dealt bountifully,4,Victory and Power
14,1,"Fools say in their hearts, “There is no God.” They are corrupt, they do abominable deeds; there is no one who does good.",0.1531,fools say hearts corrupt abominable deeds one good,3,Judgment & Righteousness
14,2,"The Lord looks down from heaven on humankind to see if there are any who are wise, who seek after God.",0.8176,lord looks heaven humankind see wise seek god,4,Victory and Power
14,3,"They have all gone astray, they are all alike perverse; there is no one who does good, no, not one.",-0.2732,gone astray alike perverse one good one,3,Judgment & Righteousness
14,4,"Have they no knowledge, all the evildoers who eat up my people as they eat bread, and do not call upon the Lord?",-0.6808,knowledge evildoers eat people eat bread call upon lord,3,Judgment & Righteousness
14,5,"There they shall be in great terror, for God is with the company of the righteous.",0.4215,shall great terror god company righteous,4,Victory and Power
14,6,"You would confound the plans of the poor, but the Lord is their refuge.",-0.2617,would confound plans poor lord refuge,4,Victory and Power
14,7,"O that deliverance for Israel would come from Zion! When the Lord restores the fortunes of his people, Jacob will rejoice; Israel will be glad.",0.8122,deliverance israel would come zion lord restores fortunes people jacob rejoice israel glad,2,Protection and Authority
15,1,"O Lord, who may abide in your tent? Who may dwell on your holy hill?",0.2168,lord may abide tent may dwell holy hill,4,Victory and Power
15,2,"Those who walk blamelessly, and do what is right, and speak the truth from their heart;",0.8126,walk blamelessly right speak truth heart,3,Judgment & Righteousness
15,3,"who do not slander with their tongue, and do no evil to their friends, nor take up a reproach against their neighbors;",0.7661,slander tongue evil friends take reproach neighbors,3,Judgment & Righteousness
15,4,"in whose eyes the wicked are despised, but who honor those who fear the Lord; who stand by their oath even to their hurt;",-0.8248,whose eyes wicked despised honor fear lord stand oath even hurt,3,Judgment & Righteousness
15,5,"who do not lend money at interest, and do not take a bribe against the innocent. Those who do these things shall never be moved.",0.7177,lend money interest take bribe innocent things shall never moved,3,Judgment & Righteousness
16,1,"Protect me, O God, for in you I take refuge.",0.5719,protect god take refuge,4,Victory and Power
16,2,"I say to the Lord, “You are my Lord; I have no good apart from you.”",-0.3412,say lord lord good apart,4,Victory and Power
16,3,"As for the holy ones in the land, they are the noble, in whom is all my delight.",0.7845,holy ones land noble delight,2,Protection and Authority
16,4,Those who choose another god multiply their sorrows; their drink offerings of blood I will not pour out or take their names upon my lips.,-0.128,choose another god multiply sorrows drink offerings blood pour take names upon lips,4,Victory and Power
16,5,The Lord is my chosen portion and my cup; you hold my lot.,0.0,lord chosen portion cup hold lot,4,Victory and Power
16,6,The boundary lines have fallen for me in pleasant places; I have a goodly heritage.,0.2023,boundary lines fallen pleasant places goodly heritage,2,Protection and Authority
16,7,I bless the Lord who gives me counsel; in the night also my heart instructs me.,0.7906,bless lord gives counsel night also heart instructs,4,Victory and Power
16,8,"I keep the Lord always before me; because he is at my right hand, I shall not be moved.",0.4939,keep lord always right hand shall moved,4,Victory and Power
16,9,"Therefore my heart is glad, and my soul rejoices; my body also rests secure.",0.9136,therefore heart glad soul rejoices body also rests secure,0,Hopefulness
16,10,"For you do not give me up to Sheol, or let your faithful one see the Pit.",0.4404,give sheol let faithful one see pit,1,Poetic Metaphors
16,11,You show me the path of life. In your presence there is fullness of joy; in your right hand are pleasures forevermore.,0.872,show path life presence fullness joy right hand pleasures forevermore,0,Hopefulness
17,1,"Hear a just cause, O Lord; attend to my cry; give ear to my prayer from lips free of deceit.",-0.4215,hear cause lord attend cry give ear prayer lips free deceit,4,Victory and Power
17,2,From you let my vindication come; let your eyes see the right.,0.0,let vindication come let eyes see right,3,Judgment & Righteousness
17,3,"If you try my heart, if you visit me by night, if you test me, you will find no wickedness in me; my mouth does not transgress.",0.7753,try heart visit night test find wickedness mouth transgress,3,Judgment & Righteousness
17,4,"As for what others do, by the word of your lips I have avoided the ways of the violent.",-0.743,others word lips avoided ways violent,3,Judgment & Righteousness
17,5,My steps have held fast to your paths; my feet have not slipped.,0.0,steps held fast paths feet slipped,1,Poetic Metaphors
17,6,"I call upon you, for you will answer me, O God; incline your ear to me, hear my words.",0.2732,call upon answer god incline ear hear words,4,Victory and Power
17,7,"Wondrously show your steadfast love, O savior of those who seek refuge from their adversaries at your right hand.",0.8126,wondrously show steadfast love savior seek refuge adversaries right hand,0,Hopefulness
17,8,"Guard me as the apple of the eye; hide me in the shadow of your wings,",-0.1779,guard apple eye hide shadow wings,1,Poetic Metaphors
17,9,"from the wicked who despoil me, my deadly enemies who surround me.",-0.765,wicked despoil deadly enemies surround,3,Judgment & Righteousness
17,10,They close their hearts to pity; with their mouths they speak arrogantly.,0.0772,close hearts pity mouths speak arrogantly,3,Judgment & Righteousness
17,11,They track me down; now they surround me; they set their eyes to cast me to the ground.,0.0,track surround set eyes cast ground,1,Poetic Metaphors
17,12,"They are like a lion eager to tear, like a young lion lurking in ambush.",0.7184,like lion eager tear like young lion lurking ambush,1,Poetic Metaphors
17,13,"Rise up, O Lord, confront them, overthrow them! By your sword deliver my life from the wicked,",-0.6588,rise lord confront overthrow sword deliver life wicked,3,Judgment & Righteousness
17,14,"from mortals—by your hand, O Lord— from mortals whose portion in life is in this world. May their bellies be filled with what you have stored up for them; may their children have more than enough; may they leave something over to their little ones.",0.4588,hand mortals whose portion life world may bellies filled stored may children enough may leave something little ones,0,Hopefulness
17,15,"As for me, I shall behold your face in righteousness; when I awake I shall be satisfied, beholding your likeness.",0.4215,shall behold face righteousness awake shall satisfied beholding likeness,4,Victory and Power
18,1,"I love you, O Lord, my strength.",0.8126,love lord strength,4,Victory and Power
18,2,"The Lord is my rock, my fortress, and my deliverer, my God, my rock in whom I take refuge, my shield, and the horn of my salvation, my stronghold.",0.3818,lord rock fortress deliverer god rock take refuge shield horn salvation stronghold,4,Victory and Power
18,3,"I call upon the Lord, who is worthy to be praised, so I shall be saved from my enemies.",0.6908,call upon lord worthy praised shall saved enemies,4,Victory and Power
18,4,The cords of death encompassed me; the torrents of perdition assailed me;,-0.5994,cords death encompassed torrents perdition assailed,3,Judgment & Righteousness
18,5,the cords of Sheol entangled me; the snares of death confronted me.,-0.6908,cords sheol entangled snares death confronted,1,Poetic Metaphors
18,6,"In my distress I called upon the Lord; to my God I cried for help. From his temple he heard my voice, and my cry to him reached his ears.",-0.5994,distress called upon lord god cried help temple heard voice cry reached ears,4,Victory and Power
18,7,"Then the earth reeled and rocked; the foundations also of the mountains trembled and quaked, because he was angry.",-0.6597,earth reeled rocked foundations also mountains trembled quaked angry,1,Poetic Metaphors
18,8,"Smoke went up from his nostrils, and devouring fire from his mouth; glowing coals flamed forth from him.",-0.34,smoke went nostrils devouring fire mouth glowing coals flamed forth,1,Poetic Metaphors
18,9,"He bowed the heavens, and came down; thick darkness was under his feet.",0.1779,bowed heavens came thick darkness feet,1,Poetic Metaphors
18,10,"He rode on a cherub, and flew; he came swiftly upon the wings of the wind.",0.296,rode cherub flew came swiftly upon wings wind,1,Poetic Metaphors
18,11,"He made darkness his covering around him, his canopy thick clouds dark with water.",-0.25,made darkness covering around canopy thick clouds dark water,1,Poetic Metaphors
18,12,Out of the brightness before him there broke through his clouds hailstones and coals of fire.,-0.3818,brightness broke clouds hailstones coals fire,1,Poetic Metaphors
18,13,"The Lord also thundered in the heavens, and the Most High uttered his voice.",0.4019,lord also thundered heavens high uttered voice,4,Victory and Power
18,14,"And he sent out his arrows, and scattered them; he flashed forth lightnings, and routed them.",0.0,sent arrows scattered flashed forth lightnings routed,1,Poetic Metaphors
18,15,"Then the channels of the sea were seen, and the foundations of the world were laid bare at your rebuke, O Lord, at the blast of the breath of your nostrils.",0.0,channels sea seen foundations world laid bare rebuke lord blast breath nostrils,1,Poetic Metaphors
18,16,"He reached down from on high, he took me; he drew me out of mighty waters.",0.1027,reached high took drew mighty waters,1,Poetic Metaphors
18,17,"He delivered me from my strong enemy, and from those who hated me; for they were too mighty for me.",-0.6597,delivered strong enemy hated mighty,3,Judgment & Righteousness
18,18,They confronted me in the day of my calamity; but the Lord was my support.,0.4854,confronted day calamity lord support,4,Victory and Power
18,19,"He brought me out into a broad place; he delivered me, because he delighted in me.",0.5106,brought broad place delivered delighted,1,Poetic Metaphors
18,20,The Lord rewarded me according to my righteousness; according to the cleanness of my hands he recompensed me.,0.4939,lord rewarded according righteousness according cleanness hands recompensed,4,Victory and Power
